Model,Rank,State,Participation
GFL-WT,1,theta_tw,0.499639579089846
GFL-WT,2,omega_g,0.444472744427736
GFL-WT,3,omega_t,0.0554611402141241
GFL-WT,4,i_m_q,0.000221617196722093
GFL-WT,5,gamma_mq,0.000204919071572617
GFL-WT,6,gamma_md,2.4296409764129e-32
GFL-WT,7,i_m_d,9.0303469182176e-34
GFL-WT,8,gamma_pll,0
GFL-WT,9,delta_pll,0
GFL-WT,10,gamma_vdc_gfl,0
GFM-GWT,1,theta_tw,0.499639579089845
GFM-GWT,2,omega_g,0.444472744427736
GFM-GWT,3,omega_t,0.055461140214124
GFM-GWT,4,i_m_q,0.000221617196722094
GFM-GWT,5,gamma_mq,0.000204919071572663
GFM-GWT,6,v_dc,2.24723769451505e-19
GFM-GWT,7,gamma_dc_gwt,1.4516676516483e-20
GFM-GWT,8,gamma_q,4.43813939903042e-22
GFM-GWT,9,gamma_id,3.22219814056389e-23
GFM-GWT,10,i2_d,1.87744064311566e-23
GFM-MWT,1,theta_tw,0.497811305167847
GFM-MWT,2,omega_g,0.442951156093893
GFM-MWT,3,omega_t,0.0553150727796025
GFM-MWT,4,delta,0.00171505697339245
GFM-MWT,5,w,0.00169090933050774
GFM-MWT,6,gamma_q,0.000158742229178293
GFM-MWT,7,v_dc,0.000147566285631338
GFM-MWT,8,gamma_dc,0.00014621791878319
GFM-MWT,9,i2_q,2.30524116252981e-05
GFM-MWT,10,ig_Q,1.62871209066342e-05
GFM-MWT+AD,1,theta_tw,0.374895554506192
GFM-MWT+AD,2,omega_g,0.299849617459577
GFM-MWT+AD,3,x_bp1,0.0826347197100035
GFM-MWT+AD,4,x_bp2,0.0759610276075315
GFM-MWT+AD,5,delta,0.0493545553736032
GFM-MWT+AD,6,w,0.0490330572914542
GFM-MWT+AD,7,omega_t,0.0452771145106175
GFM-MWT+AD,8,x_lead,0.0159150012211565
GFM-MWT+AD,9,gamma_q,0.0048508948225433
GFM-MWT+AD,10,i2_q,0.000642389102665282
