Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
Synchronization effect (PLL to GFM),SCR,1.25,4.55711857139107e-15,-5.70099523145018e-14,-55.7993409724179
Synchronization effect (PLL to GFM),SCR,1.34980103398349,3.32026073301961e-15,-4.1133763062362e-14,-36.9962408902943
Synchronization effect (PLL to GFM),SCR,1.45757026507431,-3.57353036051222e-16,3.99680288865056e-15,-20.2491186336535
Synchronization effect (PLL to GFM),SCR,1.57394388072072,5.19202736359858e-15,-6.48925357893404e-14,-3.84711374255425
Synchronization effect (PLL to GFM),SCR,1.69960886210304,4.39405456464925e-15,-5.53446177775641e-14,-2.05824940424648e-14
Synchronization effect (PLL to GFM),SCR,1.83530703954735,4.32986979603811e-15,-5.40123501480139e-14,3.04808261963885e-14
Synchronization effect (PLL to GFM),SCR,1.98183947172655,5.04284114466458e-15,-6.26165785888588e-14,-2.79290479632266e-16
Synchronization effect (PLL to GFM),SCR,2.14007117450063,4.55885329486705e-15,-5.75095526755831e-14,-6.41674213763821e-15
Synchronization effect (PLL to GFM),SCR,2.31093622731136,2.90392709878518e-15,-3.58324481197769e-14,-5.14397552331403e-14
Synchronization effect (PLL to GFM),SCR,2.49544328727582,3.66720542821497e-15,-4.44089209850063e-14,-3.84848403145455e-14
Synchronization effect (PLL to GFM),SCR,2.69468154352965,6.22939200223271e-15,-7.7937656328686e-14,-1.18115586755785e-13
Synchronization effect (PLL to GFM),SCR,2.90982714697003,2.48585874107476e-15,-3.10862446895044e-14,-2.02893257750247e-14
Synchronization effect (PLL to GFM),SCR,3.1421501533547,-8.95117313604032e-16,1.10467190950203e-14,1.68545732925907e-14
Synchronization effect (PLL to GFM),SCR,3.39302202074363,3.6273067882675e-15,-4.51305659510126e-14,-5.81323184034588e-14
Synchronization effect (PLL to GFM),SCR,3.6639237055428,3.12944115066216e-15,-3.84137166520304e-14,-4.80102069211341e-14
Synchronization effect (PLL to GFM),SCR,3.95645440494263,7.96758492516147e-15,-9.99200722162641e-14,-5.06678032863306e-14
Synchronization effect (PLL to GFM),SCR,4.27234099736006,3.36883299034696e-15,-4.15223411209809e-14,-5.12159759047393e-14
Synchronization effect (PLL to GFM),SCR,4.61344823661333,1.38777878078145e-17,5.55111512312578e-16,-2.96446894809677e-14
Synchronization effect (PLL to GFM),SCR,4.98178976000797,1.44675937896466e-15,-1.75415237890775e-14,-1.25819493712598e-14
Synchronization effect (PLL to GFM),SCR,5.37953997531769,7.2476746826311e-15,-9.04831765069503e-14,-1.33545952074599e-13
Synchronization effect (PLL to GFM),SCR,5.80904689683146,1.69655955950532e-15,-2.1094237467878e-14,-5.72562830480905e-14
Synchronization effect (PLL to GFM),SCR,6.27284600624134,1.12583553590895e-15,-1.35447209004269e-14,-5.78564973707785e-14
Synchronization effect (PLL to GFM),SCR,6.773675220195,9.92261828258734e-16,-1.18238752122579e-14,-4.56648607816135e-14
Synchronization effect (PLL to GFM),SCR,7.31449105287003,4.30905311432639e-15,-5.340172748447e-14,-1.6722040419026e-13
Synchronization effect (PLL to GFM),SCR,7.89848606898155,1.2264494975156e-15,-1.48769885299771e-14,-4.90441021128163e-14
Synchronization effect (PLL to GFM),SCR,8.52910773025237,9.48546796664118e-15,-1.19015908239817e-13,-5.11327091778924e-14
Synchronization effect (PLL to GFM),SCR,9.21007874660097,-5.3776427755281e-16,6.21724893790088e-15,-2.09519901428479e-14
Synchronization effect (PLL to GFM),SCR,9.94541905218506,3.39658856596259e-15,-4.21884749357559e-14,-9.99374194510239e-15
