Model,Mode,Sigma,FrequencyHz,Rank,State,Participation
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,1,Vcf_d,0.174850663767194
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,2,Vcf_q,0.174798457999135
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,3,i1_q,0.14690270859526
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,4,i1_d,0.146878464826525
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,5,x_del2,0.0960682947473002
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,6,x_del5,0.0959989642804655
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,7,x_del1,0.0448494213719996
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,8,x_del4,0.0448170544883165
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,9,x_del3,0.0169938795484705
GFM-MWT,Dominant,1718.24855511354,2248.05086192631,10,x_del6,0.016981615423193
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,1,theta_tw,0.497736587978108
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,2,omega_g,0.442888869940006
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,3,omega_t,0.0553064104906546
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,4,delta,0.0017387306218028
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,5,w,0.00171424382143643
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,6,gamma_q,0.000169013516266785
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,7,v_dc,0.000147702943821494
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,8,gamma_dc,0.000146352910730737
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,9,gamma_vd,4.59021373855056e-05
GFM-MWT,Torsional,0.136629403870078,2.00052418645052,10,gamma_vq,3.58046637486356e-05
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,1,Vcf_d,0.174850663767198
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,2,Vcf_q,0.174798457999136
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,3,i1_q,0.14690270859527
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,4,i1_d,0.146878464826524
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,5,x_del2,0.0960682947472974
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,6,x_del5,0.0959989642804624
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,7,x_del1,0.044849421371998
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,8,x_del4,0.044817054488317
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,9,x_del3,0.0169938795484707
GFM-MWT+AD,Dominant,1718.24855511376,2248.05086192631,10,x_del6,0.016981615423187
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,1,theta_tw,0.462945569111188
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,2,omega_g,0.403075805099923
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,3,omega_t,0.0523215772648113
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,4,x_bp1,0.0274996120598801
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,5,x_bp2,0.0270471139277188
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,6,delta,0.0099961222153797
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,7,w,0.00986605528925057
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,8,x_lead,0.00521158412031132
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,9,gamma_q,0.000983333140166495
GFM-MWT+AD,Torsional,0.0305302523060377,1.98347108653578,10,gamma_vd,0.00026263302848343
