Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,-15000000,1718.24855511397,-0.170109503765894,1.93867560145245,0.0139637228350158,0
GFM-MWT+AD,K_damp,-14833333.3333333,1718.24855511362,-0.16724217303306,1.93955379709439,0.0137221831361776,0
GFM-MWT+AD,K_damp,-14666666.6666667,1718.24855511363,-0.164348021212593,1.94042784496187,0.0134786891994995,0
GFM-MWT+AD,K_damp,-14500000,1718.24855511373,-0.161427632086786,1.94129769207134,0.0132332902949442,0
GFM-MWT+AD,K_damp,-14333333.3333333,1718.24855511372,-0.158481593968154,1.94216328858393,0.012986035906282,0
GFM-MWT+AD,K_damp,-14166666.6666667,1718.24855511373,-0.155510498773254,1.94302458771801,0.012736975657925,0
GFM-MWT+AD,K_damp,-14000000,1718.24855511348,-0.15251494130453,1.94388154580805,0.0124861592580424,0
GFM-MWT+AD,K_damp,-13833333.3333333,1718.24855511391,-0.149495518368353,1.9447341222029,0.0122336364295417,0
GFM-MWT+AD,K_damp,-13666666.6666667,1718.24855511355,-0.146452828075223,1.94558227932003,0.0119794568551454,0
GFM-MWT+AD,K_damp,-13500000,1718.24855511362,-0.14338746903792,1.94642598255601,0.0117236701152293,0
GFM-MWT+AD,K_damp,-13333333.3333333,1718.2485551135,-0.140300039669687,1.94726520025562,0.0114663256336276,0
GFM-MWT+AD,K_damp,-13166666.6666667,1718.24855511354,-0.13719113748234,1.94809990368188,0.0112074726235847,0
GFM-MWT+AD,K_damp,-13000000,1718.2485551137,-0.134061358399855,1.94893006694706,0.0109471600353414,0
GFM-MWT+AD,K_damp,-12833333.3333333,1718.24855511345,-0.130911296132571,1.94975566698653,0.0106854365085455,0
GFM-MWT+AD,K_damp,-12666666.6666667,1718.24855511387,-0.127741541551071,1.95057668347377,0.0104223503250787,0
GFM-MWT+AD,K_damp,-12500000,1718.24855511372,-0.12455268209303,1.9513930987797,0.010157949364414,0
GFM-MWT+AD,K_damp,-12333333.3333333,1718.24855511399,-0.121345301211701,1.9522048978881,0.0098922810626889,0
GFM-MWT+AD,K_damp,-12166666.6666667,1718.24855511373,-0.118119977858944,1.95301206835243,0.00962539237443795,0
GFM-MWT+AD,K_damp,-12000000,1718.24855511414,-0.114877285987114,1.95381460021952,0.00935732973608906,0
GFM-MWT+AD,K_damp,-11833333.3333333,1718.24855511391,-0.111617794071367,1.95461248594101,0.00908813903121525,0
GFM-MWT+AD,K_damp,-11666666.6666667,1718.24855511356,-0.108342064672935,1.95540572033289,0.0088178655589186,0
GFM-MWT+AD,K_damp,-11500000,1718.24855511392,-0.10505065407495,1.95619430047954,0.00854655400840267,0
