Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.01,0.01,5.06605918211689,1.5707963267949e-08,1718.25082629145,0.115901402774202,1.9998459132882,-0.0092234588628795,0
GFM-MWT,h_mp,h,mp,0.01,0.0135935639087853,5.06605918211689,2.13527202559716e-08,1718.25102376928,0.115858378212921,1.99992133471975,-0.00921968757179537,0
GFM-MWT,h_mp,h,mp,0.01,0.0184784979742229,5.06605918211689,2.90259567425963e-08,1718.25104940027,0.115799281315927,2.00002383103045,-0.00921451299923644,0
GFM-MWT,h_mp,h,mp,0.01,0.0251188643150958,5.06605918211689,3.94566197994119e-08,1718.25091482289,0.115717819493559,2.00016310748936,-0.00920739025128612,0
GFM-MWT,h_mp,h,mp,0.01,0.034145488738336,5.06605918211689,5.36356082867947e-08,1718.25068102302,0.115605002598719,2.00035233603578,-0.00919754436616866,0
GFM-MWT,h_mp,h,mp,0.01,0.0464158883361278,5.06605918211689,7.29099069033116e-08,1718.25041601987,0.115447806645838,2.00060938264903,-0.00918385886544935,0
GFM-MWT,h_mp,h,mp,0.01,0.0630957344480193,5.06605918211689,9.9110547907375e-08,1718.25016624642,0.115227050830581,2.00095845926614,-0.00916470027461962,0
GFM-MWT,h_mp,h,mp,0.01,0.0857695898590894,5.06605918211689,1.34726556701362e-07,1718.24995313183,0.114913952291265,2.00143233746802,-0.00913763590263743,0
GFM-MWT,h_mp,h,mp,0.01,0.116591440117983,5.06605918211689,1.83141405873055e-07,1718.24978141431,0.114464427027749,2.00207529550529,-0.00909897108596536,0
GFM-MWT,h_mp,h,mp,0.01,0.158489319246111,5.06605918211689,2.48954440508015e-07,1718.24964766039,0.113809511250238,2.00294700150152,-0.00904297799397454,0
GFM-MWT,h_mp,h,mp,0.01,0.215443469003188,5.06605918211689,3.38417809742158e-07,1718.24954558779,0.112839072296475,2.0041275460187,-0.00896059493363934,0
GFM-MWT,h_mp,h,mp,0.01,0.292864456462524,5.06605918211689,4.60030412460116e-07,1718.24946866779,0.111373924410347,2.0057237837054,-0.0088372180529735,0
GFM-MWT,h_mp,h,mp,0.01,0.398107170553497,5.06605918211689,6.25345281176143e-07,1718.24941116269,0.109118078009307,2.00787692983667,-0.00864895237042106,0
GFM-MWT,h_mp,h,mp,0.01,0.541169526546464,5.06605918211689,8.50067104472518e-07,1718.24936839146,0.105577585760363,2.01077077632151,-0.00835630205897607,0
GFM-MWT,h_mp,h,mp,0.01,0.735642254459641,5.06605918211689,1.15554415114032e-06,1718.24933668599,0.0999251380883102,2.0146385287518,-0.00789376552815389,0
GFM-MWT,h_mp,h,mp,0.01,1,5.06605918211689,1.5707963267949e-06,1718.24931323709,0.0907817999204334,2.01976337171434,-0.00715331446088544,0
GFM-MWT,h_mp,h,mp,0.01,1.35935639087853,5.06605918211689,2.13527202559716e-06,1718.24929592116,0.0758857779890997,2.02646232960759,-0.00595983552372941,0
GFM-MWT,h_mp,h,mp,0.01,1.84784979742229,5.06605918211689,2.90259567425963e-06,1718.24928314819,0.0516407697343889,2.03503382677787,-0.00403866345196986,0
GFM-MWT,h_mp,h,mp,0.01,2.51188643150958,5.06605918211689,3.94566197994119e-06,1718.24927373326,0.0126185211742622,2.04563759237616,-0.000981747235703185,0
GFM-MWT,h_mp,h,mp,0.01,3.4145488738336,5.06605918211689,5.36356082867947e-06,1718.2492667975,-0.0487201493646423,2.05806777177252,0.00376761041193988,0
GFM-MWT,h_mp,h,mp,0.01,4.64158883361278,5.06605918211689,7.29099069033116e-06,1718.24926169006,-0.141482945578623,2.07139117521399,0.0108701726783848,0
GFM-MWT,h_mp,h,mp,0.01,6.30957344480193,5.06605918211689,9.9110547907375e-06,1718.24925792981,-0.273832676292229,2.0834806933756,0.020913221117697,0
GFM-MWT,h_mp,h,mp,0.01,8.57695898590894,5.06605918211689,1.34726556701362e-05,1718.24925516203,-0.446503279929814,2.09068784360296,0.033970728174946,0
GFM-MWT,h_mp,h,mp,0.01,11.6591440117983,5.06605918211689,1.83141405873055e-05,1718.24925312543,-0.641038298368057,2.08864579159786,0.0487889877121874,0
GFM-MWT,h_mp,h,mp,0.01,15.8489319246111,5.06605918211689,2.48954440508015e-05,1718.24925162654,-0.814737917856518,2.07592925995483,0.0623418837406331,0
GFM-MWT,h_mp,h,mp,0.01,21.5443469003188,5.06605918211689,3.38417809742158e-05,1718.2492505237,-0.930876686011249,2.05736448619943,0.0718253761535837,0
GFM-MWT,h_mp,h,mp,0.01,29.2864456462524,5.06605918211689,4.60030412460116e-05,1718.24924971223,-0.991105466467444,2.0394193858786,0.0771148989737898,0
GFM-MWT,h_mp,h,mp,0.01,39.8107170553497,5.06605918211689,6.25345281176143e-05,1718.24924911517,-1.01682584440854,2.02499806418275,0.0796635446613442,0
GFM-MWT,h_mp,h,mp,0.01,54.1169526546464,5.06605918211689,8.50067104472519e-05,1718.24924867611,-1.02543014414473,2.01423689174983,0.0807597124964504,0
GFM-MWT,h_mp,h,mp,0.01,73.5642254459641,5.06605918211689,0.000115554415114032,1718.24924835282,-1.02650399899646,2.00641305511569,0.0811569044490964,0
GFM-MWT,h_mp,h,mp,0.01,100,5.06605918211689,0.00015707963267949,1718.24924811528,-1.02465998311498,2.00076381502706,0.0812393049586821,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.01,6.88657992577943,1.5707963267949e-08,1718.25036930659,0.11590170079096,1.99984591712342,-0.00922348255941346,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0135935639087853,6.88657992577943,2.13527202559716e-08,1718.25038816013,0.115858928802919,1.99992134187079,-0.00921973134952824,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0184784979742229,6.88657992577943,2.90259567425963e-08,1718.25028915792,0.115800298470332,2.00002384440551,-0.00921459386892214,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0251188643150958,6.88657992577943,3.94566197994119e-08,1718.25011716341,0.115719698402388,2.00016313260822,-0.0092075396232731,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.034145488738336,6.88657992577943,5.36356082867947e-08,1718.24992221589,0.115608472918921,2.00035238346471,-0.00919782022373276,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0464158883361278,6.88657992577943,7.29099069033116e-08,1718.24973847238,0.115454215157605,2.00060947282915,-0.00918436820481071,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0630957344480193,6.88657992577943,9.9110547907375e-08,1718.24958169639,0.115238882295639,2.00095863226358,-0.00916564043076406,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.0857695898590894,6.88657992577943,1.34726556701362e-07,1718.24945537424,0.114935788147473,2.00143267304806,-0.00913937055152806,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.116591440117983,6.88657992577943,1.83141405873055e-07,1718.24935697954,0.114504707010381,2.00207595533958,-0.00910216974514459,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.158489319246111,6.88657992577943,2.48954440508015e-07,1718.24928189051,0.113883762264503,2.00294831981499,-0.00904887132874129,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.215443469003188,6.88657992577943,3.38417809742158e-07,1718.24922530559,0.112975803993651,2.00413022819152,-0.00897143997215147,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.292864456462524,6.88657992577943,4.60030412460116e-07,1718.24918300241,0.111625329910555,2.00572934904651,-0.0088571402583771,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.398107170553497,6.88657992577943,6.25345281176143e-07,1718.24915153834,0.109579273283988,2.00788871195386,-0.00868545406554807,0
GFM-MWT,h_mp,h,mp,0.0135935639087853,0.541169526546464,6.88657992577943,8.50067104472518e-07,1718.24912821446,0.106420673589231,2.01079620100492,-0.00842291994274719,0
