Model,Parameter,Value,Sigma,FrequencyHz,DampingRatio,MaxReal,Stable
GFM-MWT,h,5.06605918211689,-0.106994402294941,2.00281635921808,0.00850206383565288,-0.0152763416980557,1
GFM-MWT,h,5.68421189292106,-0.106844028577184,2.00285209908759,0.00848996410546959,-0.0152763413639523,1
GFM-MWT,h,6.37779064202012,-0.106670760253932,2.00289215584769,0.00847602746417699,-0.0152763413348464,1
GFM-MWT,h,7.15599879802095,-0.106470565970244,2.00293702490948,0.00845993171749371,-0.0152763407949404,1
GFM-MWT,h,8.02916271034217,-0.10623857888608,2.00298724531528,0.00844128818035314,-0.0152763402321711,1
GFM-MWT,h,9.00886873359709,-0.105968901499429,2.00304339607721,0.008419626211021,-0.0152763399579777,1
GFM-MWT,h,10.1081169714799,-0.105654360338635,2.00310608802732,0.00839437378969065,-0.0152763396992415,1
GFM-MWT,h,11.3414937802433,-0.105286199370282,2.00317594852037,0.0083648332690375,-0.0152763392119552,1
GFM-MWT,h,12.7253653207839,-0.104853701316976,2.00325359467093,0.00833015145906336,-0.0152763383617253,1
GFM-MWT,h,14.2780947276538,-0.10434372444785,2.00333958935611,0.00828928308473211,-0.0152763375023292,1
GFM-MWT,h,16.0202857766991,-0.103740147051727,2.00343437087568,0.00824094703655422,-0.0152763371134725,1
GFM-MWT,h,17.9750562846477,-0.103023225022989,2.00353814360896,0.00818357589511293,-0.0152763361794949,1
GFM-MWT,h,20.1683448684912,-0.102168879456356,2.00365071250591,0.00811526013083337,-0.0152763354622288,1
GFM-MWT,h,22.6292551351734,-0.101148004061945,2.00377123460511,0.00803369419269409,-0.0152763343420186,1
GFM-MWT,h,25.390441868772,-0.0999259405970425,2.00389785805725,0.00793613631133124,-0.0152763330428595,1
GFM-MWT,h,28.4885443396435,-0.0984624494168207,2.00402721089572,0.00781940802029552,-0.0152763321362122,1
GFM-MWT,h,31.9646724852797,-0.0967127425697116,2.00415370964463,0.00767997834897362,-0.0152763301036409,1
GFM-MWT,h,35.864952414202,-0.09463048457012,2.00426868998389,0.0075142041891494,-0.01527632956333,1
GFM-MWT,h,40.2411384713964,-0.0921741455871077,2.00435943999629,0.00731883598137903,-0.0152763264056875,1
GFM-MWT,h,45.1512999870275,-0.0893182169860595,2.00440839529653,0.00709190716154998,-0.0152763253661498,1
GFM-MWT,h,50.6605918211689,-0.0860705075909557,2.00439302155893,0.00683410224016157,-0.0152763222540617,1
GFM-MWT,h,56.8421189292106,-0.0824943314959168,2.00428724055383,0.00655050767209414,-0.0152763202205136,1
GFM-MWT,h,63.7779064202013,-0.0787299432587175,2.00406534615031,0.00625229848366712,-0.015276316677762,1
GFM-MWT,h,71.5599879802095,-0.075003001541285,2.0037087435388,0.00595739607936268,-0.0152763142357468,1
GFM-MWT,h,80.2916271034217,-0.0716049437137802,2.00321413578706,0.0056889057061718,-0.0152763103733007,1
GFM-MWT,h,90.0886873359709,-0.06883793635121,2.0025995700128,0.00547075613861444,-0.0152763062073435,1
GFM-MWT,h,101.081169714799,-0.0669381927121283,2.00190409473448,0.00532163025485532,-0.0152763021711973,1
GFM-MWT,h,113.414937802433,-0.0660117903034909,2.00117949299306,0.00524988287365839,-0.0152762960326839,1
GFM-MWT,h,127.253653207839,-0.0660156786254008,2.00047741108522,0.00525203464311534,-0.0152762902794,1
GFM-MWT,h,142.780947276538,-0.0667897699786922,1.99983802893022,0.00531531640254824,-0.0152762839525945,1
GFM-MWT,h,160.202857766991,-0.0681169773546819,1.99928469608099,0.00542243648156997,-0.0152762782654663,1
GFM-MWT,h,179.750562846477,-0.0697802239150685,1.99882480174341,0.00555611283885512,-0.0152762684078009,1
GFM-MWT,h,201.683448684912,-0.0715981368444319,1.99845422532227,0.00570191301347435,-0.015276260002215,1
GFM-MWT,h,226.292551351734,-0.0734378377032724,1.99816243891785,0.00584927166315369,-0.0152762476468127,1
GFM-MWT,h,253.90441868772,-0.0752123964975833,1.99793654398623,0.00599128629796662,-0.0152762385707879,1
GFM-MWT,h,284.885443396435,-0.0768714186229932,1.99776380250773,0.00612396561821245,-0.0152762245141386,1
GFM-MWT,h,319.646724852797,-0.0783904999566218,1.99763290418825,0.00624538783579468,-0.0152762115862691,1
GFM-MWT,h,358.64952414202,-0.0797622203160471,1.99753440748719,0.0063549820445261,-0.0152761942784603,1
GFM-MWT,h,402.411384713965,-0.0809894418860485,1.99746072558868,0.00645299377961863,-0.0152761765726794,1
GFM-MWT,h,451.512999870275,-0.0820807149806541,1.99740590815039,0.00654011890158994,-0.0152761563449793,1
GFM-MWT,h,506.605918211689,-0.0830473205812049,1.99736535993462,0.00661726815726766,-0.0152761325544926,1
GFM-MWT,h,568.421189292106,-0.0839014609101049,1.99733556680762,0.00668542334208591,-0.0152761077160369,1
GFM-MWT,h,637.779064202013,-0.0846552120253971,1.99731385767306,0.00674555421661134,-0.0152760789283172,1
GFM-MWT,h,715.599879802095,-0.0853199615007035,1.99729820960633,0.00679857405935758,-0.0152760467514286,1
GFM-MWT,h,802.916271034217,-0.0859061420471106,1.99728709380378,0.00684531875983043,-0.0152760112369925,1
GFM-MWT,h,900.886873359709,-0.0864231407818083,1.99727935627069,0.00688653985843254,-0.0152759704785559,1
GFM-MWT,h,1010.81169714799,-0.0868793075872076,1.99727412657378,0.00692290543385221,-0.0152759237387122,1
GFM-MWT,h,1134.14937802433,-0.0872820155101174,1.99727074856984,0.00695500509389712,-0.0152758726652455,1
GFM-MWT,h,1272.53653207839,-0.0876377454602963,1.99726872802828,0.00698335686584026,-0.0152758153912834,1
GFM-MWT,h,1427.80947276538,-0.0879521788880697,1.99726769309707,0.00700841469237615,-0.0152757527257904,1
GFM-MWT,h,1602.02857766991,-0.0882302893693538,1.99726736447694,0.00703057581621345,-0.0152756789227491,1
GFM-MWT,h,1797.50562846477,-0.0884764286393692,1.9972675329069,0.00705018770304087,-0.0152755978784742,1
GFM-MWT,h,2016.83448684912,-0.0886944045401123,1.99726804214985,0.00706755430500437,-0.0152755077014303,1
GFM-MWT,h,2262.92551351734,-0.088887550720533,1.997268776119,0.007082941655171,-0.0152754053322766,1
GFM-MWT,h,2539.04418687721,-0.0890587878596529,1.99726964911998,0.00709658277731506,-0.0152752901577432,1
GFM-MWT,h,2848.85443396435,-0.0892106771983189,1.99727059844732,0.00710868197568361,-0.0152751602501714,1
GFM-MWT,h,3196.46724852797,-0.089345467087201,1.99727157875843,0.00711941856274584,-0.0152750160304368,1
GFM-MWT,h,3586.49524142021,-0.0894651332961228,1.99727255779455,0.0071289500855469,-0.0152748559487585,1
GFM-MWT,h,4024.11384713965,-0.0895714138708162,1.99727351312336,0.00713741511427762,-0.0152746721284492,1
GFM-MWT,h,4515.12999870275,-0.0896658394353714,1.99727442966135,0.00714493566537628,-0.0152744711978845,1
GFM-MWT,h,5066.05918211689,-0.0897497591941898,1.99727529778511,0.00715161927998968,-0.0152742413286055,1
GFM-MWT,h,5684.21189292106,-0.0898243636578032,1.99727611189778,0.00715756083984166,-0.0152739827639873,1
GFM-MWT,h,6377.79064202013,-0.089890704225678,1.99727686933886,0.00716284413148359,-0.0152736961787186,1
GFM-MWT,h,7155.99879802095,-0.0899497102269914,1.99727756955862,0.00716754320707407,-0.0152733753316875,1
GFM-MWT,h,8029.16271034218,-0.0900022037345447,1.99727821349445,0.00717172356701252,-0.0152730125935788,1
GFM-MWT,h,9008.86873359709,-0.0900489124704189,1.9972788031019,0.0071754431899734,-0.0152726042755347,1
GFM-MWT,h,10108.1169714799,-0.0900904810666332,1.997279341004,0.00717875343144427,-0.0152721484504944,1
GFM-MWT,h,11341.4937802433,-0.0901274808879152,1.99727983023062,0.00718169980736877,-0.0152716385810041,1
GFM-MWT,h,12725.3653207839,-0.0901604186421263,1.99728027402707,0.00718432268093809,-0.0152710646199405,1
GFM-MWT,h,14278.0947276538,-0.0901897439284388,1.99728067571532,0.0071866578645512,-0.015270421692232,1
GFM-MWT,h,16020.2857766991,-0.0902158558446531,1.99728103859474,0.00718873714666161,-0.0152697033918156,1
GFM-MWT,h,17975.0562846477,-0.0902391088137729,1.99728136587325,0.00719058875630254,-0.0152688946351358,1
GFM-MWT,h,20168.3448684912,-0.0902598176984221,1.9972816606211,0.0071922377707832,-0.0141356288102144,1
GFM-MWT,h,22629.2551351734,-0.0902782623125096,1.99728192574147,0.00719370647529477,-0.011770613903707,1
GFM-MWT,h,25390.4418687721,-0.0902946913952916,1.99728216395389,0.00719501467963236,-0.00966308341481481,1
GFM-MWT,h,28488.5443396435,-0.0903093261219675,1.99728237778636,0.00719617999795443,-0.00778501632542817,1
GFM-MWT,h,31964.6724852797,-0.0903223632103279,1.99728256957471,0.00719721809632873,-0.00611144746330293,1
GFM-MWT,h,35864.9524142021,-0.0903339776579661,1.9972827414661,0.00719814291082505,-0.00462012412312312,1
GFM-MWT,h,40241.1384713965,-0.0903443251773999,1.99728289542602,0.00719896684152393,-0.00329124055058998,1
GFM-MWT,h,45151.2999870275,-0.0903535443386203,1.99728303324722,0.00719970092320559,-0.00210713470939576,1
GFM-MWT,h,50660.5918211689,-0.0903617584820005,1.99728315656007,0.00720035497773537,-0.00105207359407461,1
GFM-MWT+AD,h,5.06605918211689,0.333053423392471,1.95934742849795,-0.0270435507574404,0.333053423392471,0
GFM-MWT+AD,h,5.68421189292106,0.333171772104467,1.95891581600672,-0.0270591098238792,0.333171772104467,0
GFM-MWT+AD,h,6.37779064202012,0.333274124057099,1.95842865149114,-0.0270741445812716,0.333274124057099,0
GFM-MWT+AD,h,7.15599879802095,0.333349976644842,1.95787848309181,-0.0270879061341805,0.333349976644842,0
GFM-MWT+AD,h,8.02916271034217,0.333385063121226,1.95725680904798,-0.027099353544883,0.333385063121226,0
GFM-MWT+AD,h,9.00886873359709,0.333360143049232,1.95655393238207,-0.0271070567447837,0.333360143049232,0
GFM-MWT+AD,h,10.1081169714799,0.333249417538638,1.95575879842729,-0.027109068654849,0.333249417538638,0
GFM-MWT+AD,h,11.3414937802433,0.333018440031777,1.95485882102187,-0.0271027556264297,0.333018440031777,0
GFM-MWT+AD,h,12.7253653207839,0.332621377323142,1.95383970991196,-0.0270845737503999,0.332621377323142,0
GFM-MWT+AD,h,14.2780947276538,0.331997416938214,1.95268530725488,-0.02704977364464,0.331997416938214,0
GFM-MWT+AD,h,16.0202857766991,0.331066074349346,1.95137745831126,-0.0269920122658337,0.331066074349346,0
GFM-MWT+AD,h,17.9750562846477,0.329721086141699,1.94989596301636,-0.0269028439961079,0.329721086141699,0
GFM-MWT+AD,h,20.1683448684912,0.327822538589782,1.94821867889908,-0.0267710592237175,0.327822538589782,0
GFM-MWT+AD,h,22.6292551351734,0.3251868253336,1.94632187111257,-0.0265818327908403,0.3251868253336,0
GFM-MWT+AD,h,25.390441868772,0.321574061443061,1.94418098241867,-0.0263156451970568,0.321574061443061,0
GFM-MWT+AD,h,28.4885443396435,0.316672742481077,1.94177207069585,-0.0259469504410651,0.316672742481077,0
GFM-MWT+AD,h,31.9646724852797,0.310081804536717,1.93907426848492,-0.0254425924130435,0.310081804536717,0
GFM-MWT+AD,h,35.864952414202,0.30129096790352,1.93607370963064,-0.0247600314331026,0.30129096790352,0
GFM-MWT+AD,h,40.2411384713964,0.289661930731747,1.9327696314426,-0.0238455833867773,0.289661930731747,0
GFM-MWT+AD,h,45.1512999870275,0.274415224106507,1.9291833026522,-0.0226330756690413,0.274415224106507,0
GFM-MWT+AD,h,50.6605918211689,0.254631726244812,1.92537052956407,-0.0210437020264841,0.254631726244812,0
GFM-MWT+AD,h,56.8421189292106,0.229283383805329,1.92143807369669,-0.0189883843398606,0.229283383805329,0
GFM-MWT+AD,h,63.7779064202013,0.197315293144456,1.91756339288442,-0.0163746835927777,0.197315293144456,0
GFM-MWT+AD,h,71.5599879802095,0.157808470845913,1.91401488116565,-0.0131210244756844,0.157808470845913,0
GFM-MWT+AD,h,80.2916271034217,0.110255768759413,1.91116578626273,-0.00918131284369398,0.110255768759413,0
GFM-MWT+AD,h,90.0886873359709,0.0549675600617966,1.9094883170124,-0.00458147190615892,0.0549675600617966,0
GFM-MWT+AD,h,101.081169714799,-0.00643561349676791,1.9095067474667,0.000536400069727851,-0.00643561349676791,1
GFM-MWT+AD,h,113.414937802433,-0.0706233670662937,1.91168716602456,0.00587955178282696,-0.0153630559822139,1
GFM-MWT+AD,h,127.253653207839,-0.13260862456118,1.91626487262047,0.0110131112044135,-0.015363049635173,1
GFM-MWT+AD,h,142.780947276538,-0.186639884198239,1.92307069231043,0.0154446309389591,-0.0153630427396115,1
GFM-MWT+AD,h,160.202857766991,-0.227889940930949,1.93147820148296,0.0187749556032172,-0.0153630366323595,1
GFM-MWT+AD,h,179.750562846477,-0.254127484984708,1.94056381648473,0.0208376880870143,-0.0153630283498904,1
GFM-MWT+AD,h,201.683448684912,-0.266242342656498,1.94941900430207,0.0217314892014496,-0.0153630195564733,1
GFM-MWT+AD,h,226.292551351734,-0.267290048735975,1.9574148441117,0.0217278875359834,-0.0153630093737341,1
GFM-MWT+AD,h,253.90441868772,-0.260924976088533,1.96427232370632,0.0211366936112443,-0.0153629967991563,1
GFM-MWT+AD,h,284.885443396435,-0.250283904395277,1.96997424212123,0.0202163961144946,-0.0153629843604399,1
GFM-MWT+AD,h,319.646724852797,-0.237611328173448,1.9746394244673,0.0191478422320317,-0.0153629694395784,1
GFM-MWT+AD,h,358.64952414202,-0.22434065468762,1.9784316103423,0.0180441471238231,-0.0153629536623228,1
GFM-MWT+AD,h,402.411384713965,-0.211314643318074,1.98151205821491,0.0169703367172349,-0.0153629323702082,1
GFM-MWT+AD,h,451.512999870275,-0.198989965544496,1.98402101910817,0.0159606184717259,-0.0153629131301447,1
GFM-MWT+AD,h,506.605918211689,-0.187585687267205,1.98607368633412,0.015030568595997,-0.01536289134685,1
GFM-MWT+AD,h,568.421189292106,-0.177180397826181,1.98776210722101,0.0141849464156918,-0.0153628633165055,1
GFM-MWT+AD,h,637.779064202013,-0.167772690866509,1.98915892050472,0.0134224808992237,-0.0153628339822018,1
GFM-MWT+AD,h,715.599879802095,-0.159317808738563,1.99032120150352,0.0127387274669026,-0.0153627994295848,1
GFM-MWT+AD,h,802.916271034217,-0.15174945968669,1.99129381043432,0.0121277434241057,-0.015362763063314,1
GFM-MWT+AD,h,900.886873359709,-0.144992595532132,1.99211211081591,0.0115830530189118,-0.0153627226397629,1
GFM-MWT+AD,h,1010.81169714799,-0.138970728150551,1.99280410541333,0.0110981887787944,-0.0153626758739932,1
GFM-MWT+AD,h,1134.14937802433,-0.133609969120821,1.99339208750119,0.0106669818421247,-0.0153626225186292,1
GFM-MWT+AD,h,1272.53653207839,-0.128841112925993,1.99389390866467,0.0102837044599216,-0.0153625630836488,1
GFM-MWT+AD,h,1427.80947276538,-0.124600568709933,1.99432395010923,0.00994312689441818,-0.0153624999411821,1
GFM-MWT+AD,h,1602.02857766991,-0.120830619644131,1.99469386788069,0.0096405253106181,-0.0153624253865037,1
GFM-MWT+AD,h,1797.50562846477,-0.117479301538642,1.99501316650827,0.00937166268774367,-0.0153623404859465,1
GFM-MWT+AD,h,2016.83448684912,-0.114500082862699,1.99528964190674,0.00913275636669576,-0.0153622462582012,1
GFM-MWT+AD,h,2262.92551351734,-0.111851446670481,1.99552972528904,0.00892043957606325,-0.0153621451332164,1
GFM-MWT+AD,h,2539.04418687721,-0.109496439724311,1.9957387513662,0.00873172165909101,-0.0153620292282023,1
GFM-MWT+AD,h,2848.85443396435,-0.107402219879166,1.99592116894942,0.00856394912517999,-0.0153618939042167,1
GFM-MWT+AD,h,3196.46724852797,-0.105539627761722,1.99608070680852,0.00841476934937234,-0.0153617475689279,1
GFM-MWT+AD,h,3586.49524142021,-0.103882787869516,1.99622050527954,0.0082820971417072,-0.0153615819144512,1
GFM-MWT+AD,h,4024.11384713965,-0.102408744593838,1.99634322120962,0.00816408449095906,-0.0153613951786327,1
GFM-MWT+AD,h,4515.12999870275,-0.101097134014852,1.99645111206153,0.00805909345190993,-0.0153611908502129,1
GFM-MWT+AD,h,5066.05918211689,-0.0999298903035694,1.9965461036779,0.00796567201064406,-0.0153609525447367,1
GFM-MWT+AD,h,5684.21189292106,-0.0988909831871002,1.99662984525177,0.00788253259140308,-0.0153606917495592,1
GFM-MWT+AD,h,6377.79064202013,-0.0979661860612999,1.996703754002,0.00780853313269263,-0.0153603971569477,1
GFM-MWT+AD,h,7155.99879802095,-0.097142869539004,1.99676905181685,0.00774266028667683,-0.0153600671872352,1
GFM-MWT+AD,h,8029.16271034218,-0.0964098192307534,1.99682679536219,0.00768401462410354,-0.0153596954705892,1
GFM-MWT+AD,h,9008.86873359709,-0.0957570743967865,1.99687790098845,0.00763179755971537,-0.0153592817892449,1
