Parameter,Meaning,SmallSignal,Nonlinear,Delta,RelativePercent,Status
Vdc,DC-link operating voltage,1500,1200,300,25,mismatch
C_dc,DC-link capacitance,0.0015,0.03,-0.0285,-95,mismatch
C_dc_motor_macro,DC-link capacitance in motorcontrol.h,0.0015,0.03,-0.0285,-95,mismatch
C_dc_gsc_macro,DC-link capacitance in grid_forming_control_vsg.h,0.0015,0.03,-0.0285,-95,mismatch
L_d,PMSG d-axis inductance,0.00105,0.00102,2.99999999999999e-05,2.94117647058822,mismatch
L_q,PMSG q-axis inductance,0.00105,0.00102,2.99999999999999e-05,2.94117647058822,mismatch
R_s,PMSG stator resistance,0.0122,0.0122,0,0,match
n_p,PMSG pole pairs,20,20,0,0,match
psi_f,PMSG flux linkage,8.64,8.64,0,0,match
J_g,PMSG generator inertia,183750,183750,0,0,match
