Model,Rank,State,Participation
GFL-WT,1,theta_tw,0.499983976488331
GFL-WT,2,omega_g,0.444446951733319
GFL-WT,3,omega_t,0.0555502603045546
GFL-WT,4,i_m_q,9.77421291865682e-06
GFL-WT,5,gamma_mq,9.03726087654197e-06
GFL-WT,6,gamma_md,5.65787980548335e-32
GFL-WT,7,i_m_d,1.01141961901606e-33
GFL-WT,8,gamma_pll,0
GFL-WT,9,delta_pll,0
GFL-WT,10,gamma_vdc_gfl,0
GFM-GWT,1,theta_tw,0.499983976488331
GFM-GWT,2,omega_g,0.44444695173332
GFM-GWT,3,omega_t,0.0555502603045543
GFM-GWT,4,i_m_q,9.77421291864827e-06
GFM-GWT,5,gamma_mq,9.03726087653589e-06
GFM-GWT,6,v_dc,2.09189891099948e-18
GFM-GWT,7,gamma_dc_gwt,1.93466962293217e-18
GFM-GWT,8,gamma_q,7.58582753559789e-21
GFM-GWT,9,gamma_vd,5.06384952630274e-21
GFM-GWT,10,delta,3.01379715703313e-21
GFM-MWT,1,theta_tw,0.499799307709581
GFM-MWT,2,omega_g,0.444287846872794
GFM-MWT,3,omega_t,0.0555335798484278
GFM-MWT,4,delta,0.000183245717691219
GFM-MWT,5,w,0.000181227172612234
GFM-MWT,6,gamma_vd,3.73595751725728e-06
GFM-MWT,7,gamma_q,2.71682885609916e-06
GFM-MWT,8,ig_Q,2.17891128443568e-06
GFM-MWT,9,v_dc,1.51359271720126e-06
GFM-MWT,10,gamma_dc,1.50349345183204e-06
GFM-MWT+AD,1,theta_tw,0.474430931899838
GFM-MWT+AD,2,omega_g,0.417177713714603
GFM-MWT+AD,3,omega_t,0.0531646735081848
GFM-MWT+AD,4,x_bp1,0.0185937070198372
GFM-MWT+AD,5,x_bp2,0.0184331064231326
GFM-MWT+AD,6,delta,0.00725399059490276
GFM-MWT+AD,7,w,0.00717986905981793
GFM-MWT+AD,8,x_lead,0.00328055358832599
GFM-MWT+AD,9,gamma_vd,0.000147158759883152
GFM-MWT+AD,10,gamma_q,0.000107890953982634
