Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
Synchronization effect (PLL to GFM),SCR,1.25,NaN,NaN,NaN
Synchronization effect (PLL to GFM),SCR,1.34980103398349,NaN,NaN,NaN
Synchronization effect (PLL to GFM),SCR,1.45757026507431,4.85028683883115e-15,-6.09234884763055e-14,-71.7734597229244
Synchronization effect (PLL to GFM),SCR,1.57394388072072,8.63198401646059e-15,-1.0877410083765e-13,-72.2631676961812
Synchronization effect (PLL to GFM),SCR,1.69960886210304,5.13304676541537e-15,-6.45872244575685e-14,-72.6245472774276
Synchronization effect (PLL to GFM),SCR,1.83530703954735,1.33053290607421e-14,-1.66949787328008e-13,-72.9686145184628
Synchronization effect (PLL to GFM),SCR,1.98183947172655,5.08447450808802e-15,-6.3726801613484e-14,-73.3219536591801
Synchronization effect (PLL to GFM),SCR,2.14007117450063,8.04391275810445e-15,-1.01363362148277e-13,-73.6951648446823
Synchronization effect (PLL to GFM),SCR,2.31093622731136,3.38271077815477e-16,-4.10782519111308e-15,-74.0937322414875
Synchronization effect (PLL to GFM),SCR,2.49544328727582,6.43755881934993e-15,-8.11017919488677e-14,-74.5210709031414
Synchronization effect (PLL to GFM),SCR,2.69468154352965,4.45650460978442e-15,-5.62883073484954e-14,-74.9796272299752
Synchronization effect (PLL to GFM),SCR,2.90982714697003,5.09314812546791e-15,-6.3948846218409e-14,-75.4713470422646
Synchronization effect (PLL to GFM),SCR,3.1421501533547,-1.76074432811646e-15,2.19824158875781e-14,-75.9978892361128
Synchronization effect (PLL to GFM),SCR,3.39302202074363,2.3037127760972e-15,-2.90878432451791e-14,-76.5607367160912
Synchronization effect (PLL to GFM),SCR,3.6639237055428,6.73766598069392e-15,-8.5043083686287e-14,-77.1612564471714
Synchronization effect (PLL to GFM),SCR,3.95645440494263,5.9240806704608e-15,-7.46069872548105e-14,-77.8007353254361
Synchronization effect (PLL to GFM),SCR,4.27234099736006,5.91193760612896e-15,-7.43849426498855e-14,-78.4804036409198
