Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,-15000000,-0.0155393957612254,-0.413649975068568,1.95521781304241,0.0336520819946373,1
GFM-MWT+AD,K_damp,-14833333.3333333,-0.0155364207001491,-0.40983398678539,1.95586279629437,0.03333099984911,1
GFM-MWT+AD,K_damp,-14666666.6666667,-0.0155334467803863,-0.406012692429336,1.95650232271549,0.0330097801308114,1
GFM-MWT+AD,K_damp,-14500000,-0.0155304740004662,-0.402186656790407,1.95713644051785,0.0326884654153208,1
GFM-MWT+AD,K_damp,-14333333.3333333,-0.0155275023602155,-0.398356426783786,1.95776519919588,0.0323670967867422,1
GFM-MWT+AD,K_damp,-14166666.6666667,-0.0155245318578854,-0.394522531621702,1.95838864939701,0.0320457138580234,1
GFM-MWT+AD,K_damp,-14000000,-0.0155215624945463,-0.39068548307759,1.95900684279562,0.0317243547984667,1
GFM-MWT+AD,K_damp,-13833333.3333333,-0.015518594267893,-0.386845775700654,1.95961983198002,0.0314030563567662,1
GFM-MWT+AD,K_damp,-13666666.6666667,-0.015515627178059,-0.383003887122673,1.96022767033627,0.0310818538913478,1
GFM-MWT+AD,K_damp,-13500000,-0.0155126612249187,-0.37916027832577,1.96083041194671,0.0307607813970786,1
GFM-MWT+AD,K_damp,-13333333.3333333,-0.0155096964054429,-0.375315393968072,1.96142811148294,0.0304398715365422,1
GFM-MWT+AD,K_damp,-13166666.6666667,-0.0155067327220993,-0.371469662704162,1.96202082411797,0.0301191556703716,1
GFM-MWT+AD,K_damp,-13000000,-0.0155037701729909,-0.367623497509791,1.96260860543004,0.0297986638878565,1
GFM-MWT+AD,K_damp,-12833333.3333333,-0.0155008087554338,-0.3637772960564,1.96319151131904,0.0294784250411863,1
GFM-MWT+AD,K_damp,-12666666.6666667,-0.0154978484720972,-0.359931441023843,1.96376959793239,0.0291584667743554,1
GFM-MWT+AD,K_damp,-12500000,-0.0154948893213762,-0.356086300492728,1.96434292158049,0.0288388155584874,1
GFM-MWT+AD,K_damp,-12333333.3333333,-0.0154919313019749,-0.352242228301884,1.96491153867327,0.0285194967238413,1
GFM-MWT+AD,K_damp,-12166666.6666667,-0.0154889744127041,-0.348399564404587,1.96547550565243,0.0282005344916116,1
GFM-MWT+AD,K_damp,-12000000,-0.0154860186536771,-0.344558635252206,1.96603487892996,0.0278819520076948,1
GFM-MWT+AD,K_damp,-11833333.3333333,-0.015483064024592,-0.34071975415627,1.96658971483108,0.0275637713744871,1
GFM-MWT+AD,K_damp,-11666666.6666667,-0.0154801105235381,-0.336883221663045,1.96714006953997,0.0272460136835086,1
GFM-MWT+AD,K_damp,-11500000,-0.0154771581512466,-0.333049325913987,1.96768599905262,0.0269286990466409,1
GFM-MWT+AD,K_damp,-11333333.3333333,-0.0154742069066728,-0.329218343020038,1.96822755912814,0.0266118466283731,1
GFM-MWT+AD,K_damp,-11166666.6666667,-0.0154712567891401,-0.325390537421864,1.96876480524908,0.0262954746766577,1
GFM-MWT+AD,K_damp,-11000000,-0.0154683077978564,-0.321566162245722,1.96929779258147,0.0259796005532969,1
GFM-MWT+AD,K_damp,-10833333.3333333,-0.0154653599326027,-0.317745459652672,1.96982657593739,0.0256642407636422,1
GFM-MWT+AD,K_damp,-10666666.6666667,-0.0154624131916644,-0.313928661197979,1.97035120974508,0.0253494109869071,1
GFM-MWT+AD,K_damp,-10500000,-0.0154594675742911,-0.310115988167857,1.97087174801747,0.0250351261045703,1
GFM-MWT+AD,K_damp,-10333333.3333333,-0.0154565230823796,-0.306307651911331,1.97138824432493,0.024721400228231,1
GFM-MWT+AD,K_damp,-10166666.6666667,-0.0154535797125659,-0.302503854182758,1.97190075176911,0.0244082467282201,1
GFM-MWT+AD,K_damp,-10000000,-0.0154506374657185,-0.298704787445304,1.9724093229647,0.0240956782588752,1
GFM-MWT+AD,K_damp,-9833333.33333333,-0.0154476991678267,-0.294910631366337,1.97291401069081,0.0237837064687342,1
GFM-MWT+AD,K_damp,-9666666.66666667,-0.0154447591632494,-0.291121568567767,1.97341486515441,0.0234723433036207,1
GFM-MWT+AD,K_damp,-9500000,-0.0154418202782088,-0.287337761632986,1.97391193807965,0.0231615991039279,1
GFM-MWT+AD,K_damp,-9333333.33333333,-0.0154388825132283,-0.283559369004111,1.97440527994112,0.022851483920142,1
GFM-MWT+AD,K_damp,-9166666.66666667,-0.0154359458674615,-0.279786541357676,1.97489494064233,0.0225420072125945,1
GFM-MWT+AD,K_damp,-9000000,-0.0154330103400935,-0.276019421873802,1.97538096950559,0.0222331778734594,1
GFM-MWT+AD,K_damp,-8833333.33333333,-0.0154300759308615,-0.272258146519359,1.97586341526409,0.021925004249799,1
GFM-MWT+AD,K_damp,-8666666.66666667,-0.0154271426385829,-0.26850284429975,1.97634232605102,0.0216174941640636,1
GFM-MWT+AD,K_damp,-8500000,-0.0154242074370745,-0.264753640726163,1.97681774883991,0.0213106551991576,1
GFM-MWT+AD,K_damp,-8333333.33333333,-0.0154212763849266,-0.261010645154269,1.97728973168135,0.0210044936555559,1
GFM-MWT+AD,K_damp,-8166666.66666667,-0.0154183464370286,-0.257273970529169,1.97775832030573,0.0206990161769239,1
GFM-MWT+AD,K_damp,-8000000,-0.015415417615387,-0.253543720494139,1.97822356040793,0.0203942286878404,1
GFM-MWT+AD,K_damp,-7833333.33333333,-0.0154124899008964,-0.249819992984682,1.97868549705536,0.0200901366893993,1
