Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.01,0.01,5.06605918211689,1.5707963267949e-08,-0.0199151628037598,-0.0903932737906897,1.99735136231643,0.00720262015094244,1
GFM-MWT,h_mp,h,mp,0.01,0.0135935639087853,5.06605918211689,2.13527202559716e-08,-0.018076302598747,-0.0903815913569066,1.99737553490409,0.00720160218044984,1
GFM-MWT,h_mp,h,mp,0.01,0.0184784979742229,5.06605918211689,2.90259567425963e-08,-0.0171127619568642,-0.0903666905235732,1.99740841933128,0.00720029640588601,1
GFM-MWT,h_mp,h,mp,0.01,0.0251188643150958,5.06605918211689,3.94566197994119e-08,-0.0165277743616603,-0.0903482490492684,1.99745316524743,0.00719866583410693,1
GFM-MWT,h_mp,h,mp,0.01,0.034145488738336,5.06605918211689,5.36356082867947e-08,-0.0161467593658445,-0.09032654122544,1.99751406655848,0.00719671689941303,1
GFM-MWT,h_mp,h,mp,0.01,0.0464158883361278,5.06605918211689,7.29099069033116e-08,-0.0158884074269446,-0.0903032624430136,1.99759697750492,0.00719456366163941,1
GFM-MWT,h_mp,h,mp,0.01,0.0630957344480193,5.06605918211689,9.9110547907375e-08,-0.0157087558673583,-0.0902831738108629,1.99770987376279,0.00719255678652631,1
GFM-MWT,h_mp,h,mp,0.01,0.0857695898590894,5.06605918211689,1.34726556701362e-07,-0.015581733818719,-0.0902773076530168,1.99786359362977,0.00719153612762157,1
GFM-MWT,h_mp,h,mp,0.01,0.116591440117983,5.06605918211689,1.83141405873055e-07,-0.0154908971976281,-0.090309103912918,1.99807277230484,0.00719331579307744,1
GFM-MWT,h_mp,h,mp,0.01,0.158489319246111,5.06605918211689,2.48954440508015e-07,-0.0154254206374625,-0.0904259423540769,1.99835689310282,0.00720159775006072,1
GFM-MWT,h_mp,h,mp,0.01,0.215443469003188,5.06605918211689,3.38417809742158e-07,-0.0153779581807319,-0.0907202580548567,1.99874110920229,0.00722364728795004,1
GFM-MWT,h_mp,h,mp,0.01,0.292864456462524,5.06605918211689,4.60030412460116e-07,-0.0153434152199177,-0.0913664570309031,1.99925577416229,0.00727322578371922,1
GFM-MWT,h_mp,h,mp,0.01,0.398107170553497,5.06605918211689,6.25345281176143e-07,-0.0153182018943815,-0.0926796262197556,1.99993195200751,0.00737526066617731,1
GFM-MWT,h_mp,h,mp,0.01,0.541169526546464,5.06605918211689,8.50067104472518e-07,-0.0152997598645743,-0.0951897734417144,2.00078704692808,0.00757176467493923,1
GFM-MWT,h_mp,h,mp,0.01,0.735642254459641,5.06605918211689,1.15554415114032e-06,-0.0152862498951792,-0.0996761039900136,2.00179165880369,0.0079246241512384,1
GFM-MWT,h_mp,h,mp,0.01,1,5.06605918211689,1.5707963267949e-06,-0.01527634179455,-0.106994402205497,2.00281635923717,0.00850206382846492,1
GFM-MWT,h_mp,h,mp,0.01,1.35935639087853,5.06605918211689,2.13527202559716e-06,-0.015269069297419,-0.117465260029202,2.00359909272439,0.00933039102478233,1
