Scenario,Vdc,C_dc,Model,MaxReal,DominantFrequencyHz,DominantSigma,Sigma,Omega,FrequencyHz,DampingRatio,Stable
FrozenSmallSignal,1500,0.0015,GFL-WT,1373.08064758776,2192.03567819054,1373.08064758776,-0.621314052137604,12.5513997822843,1.99761731807308,0.0494410363185812,0
FrozenSmallSignal,1500,0.0015,GFM-GWT,1298.83049095656,2191.8217057509,1298.83049095656,-0.621314052137632,12.5513997822843,1.99761731807308,0.0494410363185834,0
FrozenSmallSignal,1500,0.0015,GFM-MWT,1298.83049096034,2191.82170575119,1298.83049096034,0.172742479316533,12.5731726728855,2.00108258123766,-0.0137376764589624,0
FrozenSmallSignal,1500,0.0015,GFM-MWT+AD,1298.83049096046,2191.8217057512,1298.83049096046,-0.144720743804973,12.2735171204062,1.95339091883564,0.0117904821270613,0
NonlinearPhysicalInit,1200,0.03,GFL-WT,1375.16220996492,2190.99792776779,1375.16220996492,-0.621314052137628,12.5513997822843,1.99761731807308,0.0494410363185831,0
NonlinearPhysicalInit,1200,0.03,GFM-GWT,1298.83049095656,2191.8217057509,1298.83049095656,-0.621314052137632,12.5513997822843,1.99761731807308,0.0494410363185834,0
NonlinearPhysicalInit,1200,0.03,GFM-MWT,1298.8304909606,2191.8217057512,1298.8304909606,0.217635304394572,12.5659339647356,1.99993050505402,-0.0173168720262035,0
NonlinearPhysicalInit,1200,0.03,GFM-MWT+AD,1298.83049096044,2191.8217057512,1298.83049096044,-0.144634110077635,12.2248424408095,1.94564410297442,0.0118303355775116,0
NonlinearValidationRef,1000,0.03,GFL-WT,1375.13444291294,2191.01160748868,1375.13444291294,-0.621314052137595,12.5513997822843,1.99761731807308,0.0494410363185805,0
NonlinearValidationRef,1000,0.03,GFM-GWT,1298.83049095651,2191.82170575088,1298.83049095651,-0.621314052137574,12.5513997822843,1.99761731807308,0.0494410363185788,0
NonlinearValidationRef,1000,0.03,GFM-MWT,1298.8304909603,2191.82170575122,1298.8304909603,0.208762330988363,12.5675982333103,2.00019538162431,-0.0166088644087723,0
NonlinearValidationRef,1000,0.03,GFM-MWT+AD,1298.83049096041,2191.82170575124,1298.83049096041,-0.144734364279282,12.2345437036676,1.94718810691253,0.0118291487758156,0
