Model,Rank,State,Participation
GFM-MWT-TypeA,1,theta_tw,0.494413539906685
GFM-MWT-TypeA,2,omega_g,0.44030924549579
GFM-MWT-TypeA,3,omega_t,0.0549071731503472
GFM-MWT-TypeA,4,delta,0.00483101714142272
GFM-MWT-TypeA,5,w,0.00476090897220653
GFM-MWT-TypeA,6,v_dc,0.00020870055569579
GFM-MWT-TypeA,7,gamma_dc,0.000206718679128601
GFM-MWT-TypeA,8,gamma_vd,0.000110935114244239
GFM-MWT-TypeA,9,gamma_q,9.15481617763711e-05
GFM-MWT-TypeA,10,ig_Q,6.23362490344264e-05
GFM-MWT-TypeC,1,theta_tw,0.494494477670553
GFM-MWT-TypeC,2,omega_g,0.440379652509362
GFM-MWT-TypeC,3,omega_t,0.054916221406825
GFM-MWT-TypeC,4,delta,0.0047905292125397
GFM-MWT-TypeC,5,w,0.00472103703172652
GFM-MWT-TypeC,6,v_dc,0.00017000751331124
GFM-MWT-TypeC,7,gamma_dc,0.000168393893182667
GFM-MWT-TypeC,8,gamma_vd,0.000110005648751077
GFM-MWT-TypeC,9,gamma_q,9.07844457205047e-05
GFM-MWT-TypeC,10,ig_Q,6.18131951648996e-05
GFM-MWT-TypeC+AD,1,theta_tw,0.40329659000495
GFM-MWT-TypeC+AD,2,omega_g,0.338105765682261
GFM-MWT-TypeC+AD,3,x_bp1,0.0736994022258598
GFM-MWT-TypeC+AD,4,x_bp2,0.0703456964906905
GFM-MWT-TypeC+AD,5,omega_t,0.0469483663190873
GFM-MWT-TypeC+AD,6,delta,0.0263760109468021
GFM-MWT-TypeC+AD,7,w,0.0260808820954749
GFM-MWT-TypeC+AD,8,x_lead,0.012948625761758
GFM-MWT-TypeC+AD,9,gamma_vd,0.000587911559797793
GFM-MWT-TypeC+AD,10,gamma_q,0.00051142932102763
