Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
DVC type effect (Type a to Type c),SCR,1.25,NaN,NaN,NaN
DVC type effect (Type a to Type c),SCR,1.34980103398349,NaN,NaN,NaN
DVC type effect (Type a to Type c),SCR,1.45757026507431,NaN,NaN,NaN
DVC type effect (Type a to Type c),SCR,1.57394388072072,NaN,NaN,NaN
DVC type effect (Type a to Type c),SCR,1.69960886210304,NaN,NaN,NaN
DVC type effect (Type a to Type c),SCR,1.83530703954735,NaN,NaN,NaN
DVC type effect (Type a to Type c),SCR,1.98183947172655,1.32305250169669e-05,-0.00016649055544693,-0.00016649055544693
DVC type effect (Type a to Type c),SCR,2.14007117450063,1.55055862424477e-05,-0.000195086136136335,-0.000195086136136335
DVC type effect (Type a to Type c),SCR,2.31093622731136,1.75408949197528e-05,-0.000220671899533009,-0.000220671899533009
DVC type effect (Type a to Type c),SCR,2.49544328727582,1.95028121137055e-05,-0.0002453377550522,-0.0002453377550522
DVC type effect (Type a to Type c),SCR,2.69468154352965,2.14549494730546e-05,-0.000269883005683536,-0.000269883005683536
DVC type effect (Type a to Type c),SCR,2.90982714697003,2.3430477788482e-05,-0.000294724625515608,-0.000294724625515608
DVC type effect (Type a to Type c),SCR,3.1421501533547,2.54497484619455e-05,-0.000320118607271408,-0.000320118607271408
DVC type effect (Type a to Type c),SCR,3.39302202074363,2.75266064040745e-05,-0.000346239267754456,-0.000346239267754456
DVC type effect (Type a to Type c),SCR,3.6639237055428,2.96710472936033e-05,-0.000373212627602149,-0.000373212627602149
DVC type effect (Type a to Type c),SCR,3.95645440494263,3.18905355861845e-05,-0.000401132971466933,-0.000401132971466933
DVC type effect (Type a to Type c),SCR,4.27234099736006,3.41907090089417e-05,-0.000430071702687718,-0.000430071702687718
DVC type effect (Type a to Type c),SCR,4.61344823661333,3.65756777142064e-05,-0.000460081096398057,-0.000460081096398057
DVC type effect (Type a to Type c),SCR,4.98178976000797,3.90483941008733e-05,-0.000491198960062667,-0.000491198960062667
DVC type effect (Type a to Type c),SCR,5.37953997531769,4.16105817833152e-05,-0.000523447725813364,-0.000523447725813364
DVC type effect (Type a to Type c),SCR,5.80904689683146,4.42629088305956e-05,-0.000556836631713686,-0.000556836631713686
DVC type effect (Type a to Type c),SCR,6.27284600624134,4.70049983001403e-05,-0.00059136184855646,-0.00059136184855646
DVC type effect (Type a to Type c),SCR,6.773675220195,4.98354256072524e-05,-0.000627006436589861,-0.000627006436589861
DVC type effect (Type a to Type c),SCR,7.31449105287003,5.27517138833675e-05,-0.000663740275359204,-0.000663740275359204
DVC type effect (Type a to Type c),SCR,7.89848606898155,5.57504120137272e-05,-0.000701521033536379,-0.000701521033536379
DVC type effect (Type a to Type c),SCR,8.52910773025237,5.88270407969119e-05,-0.000740293470134268,-0.000740293470134268
DVC type effect (Type a to Type c),SCR,9.21007874660097,6.19762272017384e-05,-0.000779991109926104,-0.000779991109926104
DVC type effect (Type a to Type c),SCR,9.94541905218506,6.51915962984403e-05,-0.000820534848770205,-0.000820534848770205
DVC type effect (Type a to Type c),SCR,10.7394695360308,6.84660071605253e-05,-0.000861835907919856,-0.000861835907919856
DVC type effect (Type a to Type c),SCR,11.5969176673348,7.17914144687665e-05,-0.000903794048189299,-0.000903794048189299
DVC type effect (Type a to Type c),SCR,12.5228251667119,7.515932411295e-05,-0.000946303305594642,-0.000946303305594642
DVC type effect (Type a to Type c),SCR,13.5226578867378,7.85602492652804e-05,-0.000989245057394395,-0.000989245057394395
DVC type effect (Type a to Type c),SCR,14.6023180781789,8.19846427277324e-05,-0.00103249981123799,-0.00103249981123799
DVC type effect (Type a to Type c),SCR,15.7681792323853,8.5422538304656e-05,-0.00107594261209104,-0.00107594261209104
DVC type effect (Type a to Type c),SCR,17.0271237055285,8.88635388600623e-05,-0.0011194428568217,-0.0011194428568217
DVC type effect (Type a to Type c),SCR,18.3865833467897,9.22973710310582e-05,-0.00116287131193316,-0.00116287131193316
DVC type effect (Type a to Type c),SCR,19.8545833703362,9.57135580731371e-05,-0.00120609592230342,-0.00120609592230342
DVC type effect (Type a to Type c),SCR,21.439789730073,9.9102288991567e-05,-0.00124899283245472,-0.00124899283245472
DVC type effect (Type a to Type c),SCR,23.1515602768328,0.000102453764377494,-0.00129143806966958,-0.00129143806966958
DVC type effect (Type a to Type c),SCR,25,0.000105758103685506,-0.00133330633853901,-0.00133330633853901
APCAD damping effect after Type c,SCR,1.25,NaN,NaN,NaN
APCAD damping effect after Type c,SCR,1.34980103398349,NaN,NaN,NaN
APCAD damping effect after Type c,SCR,1.45757026507431,NaN,NaN,NaN
APCAD damping effect after Type c,SCR,1.57394388072072,NaN,NaN,NaN
APCAD damping effect after Type c,SCR,1.69960886210304,NaN,NaN,NaN
APCAD damping effect after Type c,SCR,1.83530703954735,NaN,NaN,NaN
APCAD damping effect after Type c,SCR,1.98183947172655,0.00774471607469997,-0.0976280852215616,-0.0976280852215616
APCAD damping effect after Type c,SCR,2.14007117450063,0.00927110830612349,-0.11672389452706,-0.11672389452706
APCAD damping effect after Type c,SCR,2.31093622731136,0.0106382941259933,-0.133797440798706,-0.133797440798706
APCAD damping effect after Type c,SCR,2.49544328727582,0.0119596020992403,-0.150269167382919,-0.150269167382919
APCAD damping effect after Type c,SCR,2.69468154352965,0.013278308877678,-0.166678927017733,-0.166678927017733
APCAD damping effect after Type c,SCR,2.90982714697003,0.014616829649476,-0.183303858318612,-0.183303858318612
APCAD damping effect after Type c,SCR,3.1421501533547,0.0159886427885686,-0.200308155592868,-0.200308155592868
APCAD damping effect after Type c,SCR,3.39302202074363,0.0174024302758317,-0.21779505254282,-0.21779505254282
