Set,Case,CaseDescription,Model,ResponseMethod,PeakAbs_omega_g,PeakAbs_omega_t,PeakAbs_theta_tw,PeakAbs_T_sh,PeakAbs_v_dc,PeakAbs_p_m,Final_omega_g,Final_theta_tw,Final_T_sh,Final_v_dc,Final_p_m,EndSlope_omega_g,EndSlope_T_sh,EndSlope_v_dc
Four topology,wind_step,Wind-speed small step,GFL-WT,low_frequency_modal_0_10Hz,0.0201269635196106,0.0201336172988259,0.000166116926952013,4284.85496865952,0.192403941705385,19218.9826196039,0.0201269635196106,0.000166116926952013,4284.85496865952,0.023170173374392,19218.9826196039,0.00121211382506318,207.155405586302,-0.00472150613077359
Four topology,wind_step,Wind-speed small step,GFM-GWT,low_frequency_modal_0_10Hz,0.0201269635196112,0.0201336172988267,0.000166116926952011,4284.85496865949,3327.48801422312,20150.9367256786,0.0201269635196112,0.000166116926952011,4284.85496865949,1889.26090572091,20150.9367256786,0.00121211382506331,207.155405586315,-439.831805006102
Four topology,wind_step,Wind-speed small step,GFM-MWT,low_frequency_modal_0_10Hz,0.0217610701737814,0.0204572216282868,0.000294370457729594,7593.35304588799,0.201130296198751,19354.344277541,0.0202516328851583,3.15045714788917e-05,821.0231919811,-0.201130296198751,19354.344277541,0.00250523878377622,-321.903143781812,-0.00236664016576882
Four topology,wind_step,Wind-speed small step,GFM-MWT+AD,low_frequency_modal_0_10Hz,0.0208148656766337,0.0206891978757146,0.000179447070190141,4628.46107304624,0.170410142878279,19492.2011178267,0.0208148656766337,0.00017455556963551,4497.07739852353,-0.0065726317954543,19492.2011178267,0.0010975267756285,546.880530070928,-0.00708264702327866
Four topology,pref_step,Active-power reference small step,GFL-WT,low_frequency_modal_0_10Hz,0.00805944677337386,0.0080504648084676,0.000200814461895245,5180.58673870612,0.636487886580562,7704.52348678968,-0.00805944677337386,5.61311770048412e-05,1448.13580794807,0.369099111561811,-7704.52348678968,-0.000472755183985345,-75.5663381680548,0.00295814915396564
Four topology,pref_step,Active-power reference small step,GFM-GWT,low_frequency_modal_0_10Hz,0.00805944677337674,0.00805046480847057,0.000200814461895294,5180.58673870739,1709.65503860845,16942.5235072505,-0.00805944677337674,5.61311770048516e-05,1448.13580794833,-767.20056911515,1826.3805969049,-0.000472755183985557,-75.5663381680897,138.28380844519
Four topology,pref_step,Active-power reference small step,GFM-MWT,low_frequency_modal_0_10Hz,0.00839585792916937,0.00810719530003608,0.000159382428303229,4110.93110067891,0.57323148213002,12879.0352118776,-0.00800232348891555,9.00388922931055e-05,2318.02908423081,0.0203716046691484,2338.24107937791,-0.00081128207522954,132.695047024464,0.00487489326308797
Four topology,pref_step,Active-power reference small step,GFM-MWT+AD,low_frequency_modal_0_10Hz,0.00823531285710683,0.00820245317015225,0.000161702306512885,4170.7838654502,0.593239031755659,13190.1901454217,-0.00823531285710683,5.57332914864545e-05,1438.85350331636,-0.0277271167399571,2295.34453291078,-0.000472324397893985,-181.855244375683,0.000869942712994505
DVC type,wind_step,Wind-speed small step,GFM-MWT-TypeA,low_frequency_modal_0_10Hz,0.0217610701737814,0.0204572216282868,0.000294370457729594,7593.35304588799,0.201130296198751,19354.344277541,0.0202516328851583,3.15045714788917e-05,821.0231919811,-0.201130296198751,19354.344277541,0.00250523878377622,-321.903143781812,-0.00236664016576882
DVC type,wind_step,Wind-speed small step,GFM-MWT-TypeC,low_frequency_modal_0_10Hz,0.0217553700071165,0.0204570618990442,0.000293878280676196,7580.65290335811,0.151228924278064,19354.2000478893,0.0202524839989982,3.2029448809769e-05,834.519630013826,-0.140348192821726,19354.2000478893,0.00250042271491652,-319.160036469148,-0.00262549714617402
DVC type,wind_step,Wind-speed small step,GFM-MWT-TypeC+AD,low_frequency_modal_0_10Hz,0.0208188358044394,0.0206886853860767,0.000179673528902338,4634.29819196919,0.076658990143222,19493.082179083,0.0208188358044394,0.000174462823763975,4494.50123240354,0.0179312837110679,19493.082179083,0.00109906481731307,555.652058279837,0.0109255270404437
DVC type,pref_step,Active-power reference small step,GFM-MWT-TypeA,low_frequency_modal_0_10Hz,0.00839585792916937,0.00810719530003608,0.000159382428303229,4110.93110067891,0.57323148213002,12879.0352118776,-0.00800232348891555,9.00388922931055e-05,2318.02908423081,0.0203716046691484,2338.24107937791,-0.00081128207522954,132.695047024464,0.00487489326308797
DVC type,pref_step,Active-power reference small step,GFM-MWT-TypeC,low_frequency_modal_0_10Hz,0.00839140784051244,0.00810707215737378,0.000159264460605236,4107.89584598785,0.036538679405687,12878.9087208981,-0.00800311251106886,8.96230423582958e-05,2307.34069176824,0.0350704007833797,2338.35766624981,-0.000807302453223132,130.719060940784,0.00499436340453082
DVC type,pref_step,Active-power reference small step,GFM-MWT-TypeC+AD,low_frequency_modal_0_10Hz,0.00823612927884291,0.00820236168670451,0.000161610603296812,4168.4107040685,0.0229712163819673,13190.0118308541,-0.00823612927884291,5.578412471987e-05,1440.20189249131,-0.00329660989630995,2295.34299711662,-0.00047297005496614,-183.178138246025,-0.00265416396035503
