Index,VoltageScale,Kpv,Kiv,Kdamp,ZetaDamp,AlphaLead,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
14634,42.17,4.6387,11132.88,-25800000,0.35,0.5,-0.526739945905897,0.00812129464744746,-0.528080724111079,1.91478055358548,0.0438514011360505,1
11109,36.517,4.01687,9640.488,-25800000,0.35,0.5,-0.526734471219245,0.00812274789412705,-0.528110525248384,1.91477497920233,0.0438539984635494,1
7584,31.623,3.47853,8348.472,-25800000,0.35,0.5,-0.526728090927431,0.00812450384959221,-0.52814498981207,1.91476853610365,0.0438570021690997,1
4059,27.384,3.01224,7229.376,-25800000,0.35,0.5,-0.52672076339837,0.00812647791010347,-0.528184878464395,1.91476108372743,0.0438604785178834,1
14685,42.17,4.6387,11132.88,-25400000,0.35,0.7,-0.526378678642462,0.00487366824343477,-0.550156363160984,1.94387429315615,0.0449984916179411,1
11160,36.517,4.01687,9640.488,-25400000,0.35,0.7,-0.526373158573973,0.00487626652365706,-0.550192453559691,1.94387064145873,0.045001521919895,1
7635,31.623,3.47853,8348.472,-25400000,0.35,0.7,-0.526366720106717,0.00487940792257405,-0.550234186922719,1.9438664214737,0.0450050259796673,1
4110,27.384,3.01224,7229.376,-25400000,0.35,0.7,-0.526359333975069,0.00488292569725691,-0.550282482264899,1.94386154149266,0.0450090809383083,1
14609,42.17,4.6387,11132.88,-26000000,0.35,0.5,-0.524958745973513,0.0106032496911604,-0.533713049260536,1.913799980984,0.0443408537858379,1
11084,36.517,4.01687,9640.488,-26000000,0.35,0.5,-0.524953482599458,0.0106042330038692,-0.533743034924741,1.91379431657311,0.0443434710834096,1
7559,31.623,3.47853,8348.472,-26000000,0.35,0.5,-0.524947345855297,0.0106054283315303,-0.533777712926278,1.91378776940425,0.0443464978853962,1
4034,27.384,3.01224,7229.376,-26000000,0.35,0.5,-0.524940299272378,0.0106067682270421,-0.53381784866492,1.91378019663839,0.0443500009682639,1
14660,42.17,4.6387,11132.88,-25600000,0.35,0.7,-0.524583631211787,0.00837798048156851,-0.556853055221353,1.94323087757277,0.0455601482796921,1
11135,36.517,4.01687,9640.488,-25600000,0.35,0.7,-0.52457832262618,0.0083793266918437,-0.556889577096813,1.94322716035731,0.0455632171706845,1
7610,31.623,3.47853,8348.472,-25600000,0.35,0.7,-0.524572128240359,0.00838096374471427,-0.556931809420889,1.94322286463975,0.0455667658536826,1
4085,27.384,3.01224,7229.376,-25600000,0.35,0.7,-0.524565025942419,0.00838278910458829,-0.556980682289141,1.94321789703377,0.0455708724600478,1
14584,42.17,4.6387,11132.88,-26200000,0.35,0.5,-0.523173302924566,0.0126005883400892,-0.539341759073179,1.91281167178372,0.0448306573289904,1
11059,36.517,4.01687,9640.488,-26200000,0.35,0.5,-0.523168245456378,0.0126013112395043,-0.539371924034771,1.91280591621047,0.0448332942632666,1
7534,31.623,3.47853,8348.472,-26200000,0.35,0.5,-0.523162345813119,0.0126021966620219,-0.539406809390041,1.91279926366316,0.0448363437730374,1
4009,27.384,3.01224,7229.376,-26200000,0.35,0.5,-0.523155573809125,0.012603184679806,-0.539447185198304,1.91279156897432,0.0448398731426674,1
14635,42.17,4.6387,11132.88,-25800000,0.35,0.7,-0.522784558378391,0.0107932135581364,-0.563577282801657,1.94258176854486,0.0461245174232951,1
11110,36.517,4.01687,9640.488,-25800000,0.35,0.7,-0.522779456114163,0.0107941352600305,-0.563614238962282,1.94257798451861,0.0461276252313423,1
7585,31.623,3.47853,8348.472,-25800000,0.35,0.7,-0.522773501373385,0.010795262042174,-0.563656973543618,1.94257361155415,0.0461312189212986,1
4060,27.384,3.01224,7229.376,-25800000,0.35,0.7,-0.522766673341083,0.0107965154918578,-0.563706427581443,1.94256855462199,0.0461353776042827,1
4084,27.384,3.01224,7229.376,-25600000,0.35,0.5,-0.522548927326678,1.9157343102154,-0.522548927326678,1.9157343102154,0.0433713519622103,1
7609,31.623,3.47853,8348.472,-25600000,0.35,0.5,-0.522509292485749,1.91574164370126,-0.522509292485749,1.91574164370126,0.0433679027723488,1
11134,36.517,4.01687,9640.488,-25600000,0.35,0.5,-0.522475047154634,1.91574798404906,-0.522475047154634,1.91574798404906,0.0433649225284298,1
14659,42.17,4.6387,11132.88,-25600000,0.35,0.5,-0.522445435563107,1.91575346955409,-0.522445435563107,1.91575346955409,0.0433623454872527,1
14559,42.17,4.6387,11132.88,-26400000,0.35,0.5,-0.521383740552133,0.0143174618112557,-0.544966178692001,1.91181554676616,0.0453207637456058,1
11034,36.517,4.01687,9640.488,-26400000,0.35,0.5,-0.521378865833474,0.014318023019698,-0.544996517215303,1.91180969894637,0.0453234199406716,1
7509,31.623,3.47853,8348.472,-26400000,0.35,0.5,-0.521373205528707,0.014318694763909,-0.545031603680135,1.91180293967448,0.0453264917579364,1
3984,27.384,3.01224,7229.376,-26400000,0.35,0.5,-0.521366702792121,0.0143194455082459,-0.545072212221136,1.91179512153837,0.045330046941105,1
14610,42.17,4.6387,11132.88,-26000000,0.35,0.7,-0.520981582426445,0.0127537442319873,-0.570329222931808,1.94192684866598,0.0466916228745477,1
11085,36.517,4.01687,9640.488,-26000000,0.35,0.7,-0.520976681782494,0.0127544238973192,-0.57036661618419,1.94192299649621,0.0466947699305235,1
7560,31.623,3.47853,8348.472,-26000000,0.35,0.7,-0.520970959063217,0.012755261961241,-0.570409856171963,1.94191854476953,0.0466984090015692,1
4035,27.384,3.01224,7229.376,-26000000,0.35,0.7,-0.520964399345715,0.0127561892852706,-0.570459895125702,1.94191339672126,0.0467026202033028,1
14534,42.17,4.6387,11132.88,-26600000,0.35,0.5,-0.519590172567632,0.0158451994800878,-0.550585609646048,1.91081152766097,0.0458111230342527,1
11009,36.517,4.01687,9640.488,-26600000,0.35,0.5,-0.519585493367402,0.0158456304023904,-0.550616116202014,1.91080558640123,0.0458137981345039,1
7484,31.623,3.47853,8348.472,-26600000,0.35,0.5,-0.519580058384394,0.0158461495760586,-0.550651397028784,1.91079871911176,0.0458168918166432,1
3959,27.384,3.01224,7229.376,-26600000,0.35,0.5,-0.519573815520658,0.0158467268761643,-0.550692230580525,1.91079077601522,0.0458204723087056,1
14585,42.17,4.6387,11132.88,-26200000,0.35,0.7,-0.519174827479926,0.0144457889316006,-0.577109048682264,1.94126599716253,0.0472614884111085,1
11060,36.517,4.01687,9640.488,-26200000,0.35,0.7,-0.519170122743099,0.0144463045823497,-0.577146881733413,1.94126207548766,0.0472646750405651,1
7535,31.623,3.47853,8348.472,-26200000,0.35,0.7,-0.519164626638943,0.014446946480625,-0.577190630332302,1.94125754341338,0.0472683598754849,1
4010,27.384,3.01224,7229.376,-26200000,0.35,0.7,-0.519158327776874,0.0144476528113843,-0.577241257867787,1.94125230242982,0.0472726240350665,1
14509,42.17,4.6387,11132.88,-26800000,0.35,0.5,-0.517792721424091,0.0172340762191265,-0.55619932967424,1.9097995371963,0.0463016831888293,1
10984,36.517,4.01687,9640.488,-26800000,0.35,0.5,-0.517788232059456,0.0172344058438685,-0.556229998259902,1.90979350136615,0.046304376798405,1
