Stage,Index,CurrentScale,VoltageScale,Kpi,Kii,Kpv,Kiv,BetaV,BetaI,Kdamp,ZetaDamp,AlphaLead,TLeadDamp,MaxReal,DominantSigma,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
stage1,601,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0,-5000000,0.2,0.3,0.0795774715459477,97.4528773818161,97.4528773818161,2168.60557116539,0.016837023269344,1.98434865585769,-0.00135041441885024,0
stage1,602,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0.2,-5000000,0.2,0.3,0.0795774715459477,97.466475037867,97.466475037867,2168.60301213718,0.0168343195452306,1.98434777909458,-0.00135019816346717,0
stage1,576,0.001,0.749894209332456,0.0002,0.000333333333333333,0.0824883630265701,197.972071263768,0,0,-5000000,0.2,0.3,0.0795774715459477,97.4789565820552,97.4789565820552,2168.60807429368,0.0168477533051534,1.98435105255579,-0.00135127338835178,0
stage1,603,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0.5,-5000000,0.2,0.3,0.0795774715459477,97.4868717842164,97.4868717842164,2168.59917365803,0.0168302828846314,1.98434646560134,-0.0013498752968359,0
stage1,577,0.001,0.749894209332456,0.0002,0.000333333333333333,0.0824883630265701,197.972071263768,0,0.2,-5000000,0.2,0.3,0.0795774715459477,97.4925539625842,97.4925539625842,2168.60551529756,0.0168450430265052,1.9843501765088,-0.00135105660741713,0
stage1,551,0.001,0.562341325190349,0.0002,0.000333333333333333,0.0618575457709384,148.458109850252,0,0,-5000000,0.2,0.3,0.0795774715459477,97.4985130382543,97.4985130382543,2168.60995133658,0.016855815880958,1.98435284604124,-0.00135191882386236,0
stage1,604,0.001,1,0.0002,0.000333333333333333,0.11,264,0,0.8,-5000000,0.2,0.3,0.0795774715459477,97.5072688464479,97.5072688464479,2168.59533525436,0.0168262689157694,1.9843451540767,-0.00134955424842993,0
stage1,552,0.001,0.562341325190349,0.0002,0.000333333333333333,0.0618575457709384,148.458109850252,0,0.2,-5000000,0.2,0.3,0.0795774715459477,97.512110210941,97.512110210941,2168.60739236452,0.0168531006930779,1.98435197052366,-0.00135170164930468,0
stage1,578,0.001,0.749894209332456,0.0002,0.000333333333333333,0.0824883630265701,197.972071263768,0,0.5,-5000000,0.2,0.3,0.0795774715459477,97.5129502950367,97.5129502950367,2168.60167686638,0.0168409965103036,1.98434886405952,-0.00135073295056703,0
stage1,526,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0,-5000000,0.2,0.3,0.0795774715459477,97.5131782056405,97.5131782056405,2168.61135889851,0.0168618710189788,1.9843541888372,-0.00135240355948152,0
stage1,605,0.001,1,0.0002,0.000333333333333333,0.11,264,0,1,-5000000,0.2,0.3,0.0795774715459477,97.5208670620918,97.5208670620918,2168.59277636068,0.016823605565548,1.98434428081994,-0.0013493412280917,0
stage1,501,0.001,0.316227766016838,0.0002,0.000333333333333333,0.0347850542618522,83.4841302284452,0,0,-5000000,0.2,0.3,0.0795774715459477,97.5241754719459,97.5241754719459,2168.61241440884,0.0168664168622552,1.98435519460584,-0.00135276747176994,0
stage1,527,0.001,0.421696503428582,0.0002,0.000333333333333333,0.046386615377144,111.327876905146,0,0.2,-5000000,0.2,0.3,0.0795774715459477,97.5267752238115,97.5267752238115,2168.60879994442,0.01685915216684,1.98435331372628,-0.00135218609111712,0
stage1,476,0.001,0.237137370566166,0.0002,0.000333333333333333,0.0260851107622782,62.6042658294677,0,0,-5000000,0.2,0.3,0.0795774715459477,97.5324222236554,97.5324222236554,2168.61320592301,0.0168698285447788,1.98435594813811,-0.00135304059076129,0
