Model,Rank,State,Participation
GFL-WT,1,theta_tw,0.499971975439081
GFL-WT,2,omega_g,0.444452191465219
GFL-WT,3,omega_t,0.0555441045812655
GFL-WT,4,i_m_q,2.26891426621558e-05
GFL-WT,5,gamma_mq,9.03937177158345e-06
GFL-WT,6,gamma_vdc_gfl,3.12080452381173e-18
GFL-WT,7,v_dc,9.48984192178157e-19
GFL-WT,8,gamma_id,8.38547331737099e-20
GFL-WT,9,ig_D,3.50171869067228e-20
GFL-WT,10,gamma_q_gfl,1.94013317406344e-20
GFM-GWT,1,theta_tw,0.499971975439081
GFM-GWT,2,omega_g,0.444452191465219
GFM-GWT,3,omega_t,0.0555441045812658
GFM-GWT,4,i_m_q,2.26891426621568e-05
GFM-GWT,5,gamma_mq,9.03937177158367e-06
GFM-GWT,6,v_dc,4.52921521579101e-19
GFM-GWT,7,gamma_dc_gwt,2.74137120242138e-19
GFM-GWT,8,gamma_q,3.34142313338511e-21
GFM-GWT,9,gamma_id,7.81444202874331e-22
GFM-GWT,10,i1_d,7.37637677567587e-22
GFM-MWT,1,theta_tw,0.499050600360412
GFM-MWT,2,omega_g,0.443614082082172
GFM-MWT,3,omega_t,0.0554533683420221
GFM-MWT,4,delta,0.000652892727256067
GFM-MWT,5,w,0.000645421022692158
GFM-MWT,6,v_dc,0.000262556622318382
GFM-MWT,7,gamma_dc,0.000260726291035676
GFM-MWT,8,gamma_q,3.43829959939607e-05
GFM-MWT,9,ig_Q,1.16540396081559e-05
GFM-MWT,10,ig_D,5.20325490694855e-06
GFM-MWT+AD,1,theta_tw,0.464152691444786
GFM-MWT+AD,2,omega_g,0.406893362093948
GFM-MWT+AD,3,omega_t,0.0521388586852789
GFM-MWT+AD,4,x_bp1,0.02531846218438
GFM-MWT+AD,5,x_bp2,0.0249727387055236
GFM-MWT+AD,6,delta,0.00982187145797326
GFM-MWT+AD,7,w,0.00972098760570233
GFM-MWT+AD,8,x_lead,0.00445225100550125
GFM-MWT+AD,9,v_dc,0.00082683831601753
GFM-MWT+AD,10,gamma_dc,0.000821992965260838
