Model,Mode,Sigma,FrequencyHz,Rank,State,Participation
GFM-MWT,Dominant,-0.015276135114231,0,1,omega_t,0.887286078606443
GFM-MWT,Dominant,-0.015276135114231,0,2,omega_g,0.110912608742996
GFM-MWT,Dominant,-0.015276135114231,0,3,delta,0.00178226795942964
GFM-MWT,Dominant,-0.015276135114231,0,4,w,1.37178603373678e-05
GFM-MWT,Dominant,-0.015276135114231,0,5,theta_tw,4.62273164306434e-06
GFM-MWT,Dominant,-0.015276135114231,0,6,gamma_q,4.53384492243324e-07
GFM-MWT,Dominant,-0.015276135114231,0,7,gamma_dc,9.86532477143192e-08
GFM-MWT,Dominant,-0.015276135114231,0,8,v_dc,9.86381768844858e-08
GFM-MWT,Dominant,-0.015276135114231,0,9,ig_Q,2.78472450428166e-08
GFM-MWT,Dominant,-0.015276135114231,0,10,ig_D,2.48345343109406e-08
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,1,theta_tw,0.499050600386727
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,2,omega_g,0.44361408210284
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,3,omega_t,0.0554533683451978
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,4,delta,0.000652892703668918
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,5,w,0.000645420999377105
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,6,v_dc,0.000262556621220122
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,7,gamma_dc,0.00026072628994527
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,8,gamma_q,3.43829953775779e-05
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,9,ig_Q,1.1654039389786e-05
GFM-MWT,Torsional,-0.0830473207079918,1.99736535992985,10,ig_D,5.20325480788638e-06
GFM-MWT+AD,Dominant,-0.0153628886073142,0,1,omega_t,0.882305560100048
GFM-MWT+AD,Dominant,-0.0153628886073142,0,2,omega_g,0.11029006079213
GFM-MWT+AD,Dominant,-0.0153628886073142,0,3,x_bp1,0.00559808938380835
GFM-MWT+AD,Dominant,-0.0153628886073142,0,4,delta,0.00178229940667769
GFM-MWT+AD,Dominant,-0.0153628886073142,0,5,w,1.3796611750592e-05
GFM-MWT+AD,Dominant,-0.0153628886073142,0,6,x_lead,4.7960056456451e-06
GFM-MWT+AD,Dominant,-0.0153628886073142,0,7,theta_tw,4.68069421154258e-06
GFM-MWT+AD,Dominant,-0.0153628886073142,0,8,gamma_q,4.55932908530835e-07
GFM-MWT+AD,Dominant,-0.0153628886073142,0,9,gamma_dc,9.9499227601403e-08
GFM-MWT+AD,Dominant,-0.0153628886073142,0,10,v_dc,9.94839409575135e-08
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,1,theta_tw,0.464152691174989
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,2,omega_g,0.406893361814251
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,3,omega_t,0.0521388586593007
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,4,x_bp1,0.0253184623285944
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,5,x_bp2,0.024972738845566
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,6,delta,0.00982187158378122
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,7,w,0.0097209877302541
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,8,x_lead,0.00445225102975645
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,9,v_dc,0.000826838321393124
GFM-MWT+AD,Torsional,-0.187585688540729,1.98607368610333,10,gamma_dc,0.000821992970608119
